,item,price,delivery fee,url
0,하겐다즈 멀티바(스틱바3개입)x3개 총 스틱바9개입,"28,700",무료배송,https://www.11st.co.kr/products/5583011896?inpu=&trTypeCd=22&trCtgrNo=895019
1,[연장판매][50%할인] 가족뮤지컬 알사탕 - 서울숲,"30,000",무료배송,https://www.11st.co.kr/products/5580231860?inpu=&trTypeCd=22&trCtgrNo=895019
2,"CJ 햇반, 210g, 36개입, 1개","35,900",무료배송,https://www.11st.co.kr/products/4243449533?inpu=&trTypeCd=22&trCtgrNo=895019
3,"제주삼다수(무/유라벨 랜덤출고) 2L x 12펫, 500ml x 40펫, 330ml x 40펫","12,150",무료배송,https://www.11st.co.kr/products/4920874549?inpu=&trTypeCd=22&trCtgrNo=895019
4,카렉스 순 에탄올 친환경 사계절 워셔액 1.8L 자동차 워셔액 3개 1BOX,"6,900",무료배송,https://www.11st.co.kr/products/1906908855?inpu=&trTypeCd=22&trCtgrNo=895019
5,[연장판매][50%할인] 가족뮤지컬 장수탕 선녀님 - 서울숲,"30,000",무료배송,https://www.11st.co.kr/products/5580232242?inpu=&trTypeCd=22&trCtgrNo=895019
6,[15%쿠폰+11%티멤][지오다노]본사 일교차 코디제안~60%OFF 자켓/반팔티/슬렉스/데님 외,"12,000",무료배송,https://www.11st.co.kr/products/1700099071?inpu=&trTypeCd=22&trCtgrNo=895019
7,[5만원권] 이마트/트레이더스 금액권 6% 할인,"47,000",무료배송,https://www.11st.co.kr/products/5545918828?inpu=&trTypeCd=22&trCtgrNo=895019
8,[거창군농협] 거창 부사사과 3kg 5kg #8-16개내 #27개내,"11,610",무료배송,https://www.11st.co.kr/products/3749557832?inpu=&trTypeCd=22&trCtgrNo=895019
9,[루키즈] 루키즈/루실내복/신상/파자마/디즈니/잠옷/상하세트/,"7,900",무료배송,https://www.11st.co.kr/products/2058410682?inpu=&trTypeCd=22&trCtgrNo=895019
10,[즉시10%+쿠폰15%+묶음~20%] 에뛰드 분기마감! 고객 감사 세일,"4,500",무료배송,https://www.11st.co.kr/products/2735551512?inpu=&trTypeCd=22&trCtgrNo=895019
11,65%+3천+T11%할인! 요즘에 팬츠&코디 BIG혜택! 팬츠NO.1#데님#슬랙스#가디건#S~3XL/넘,"4,460",무료배송,https://www.11st.co.kr/products/60937795?inpu=&trTypeCd=22&trCtgrNo=895019
12,[3만원권] 이마트/트레이더스 금액권 6% 할인,"28,200",무료배송,https://www.11st.co.kr/products/5545929341?inpu=&trTypeCd=22&trCtgrNo=895019
13,프레시지 바를정육 한입 LA갈비 500g / 초이스등급,"10,900",무료배송,https://www.11st.co.kr/products/3074788489?inpu=&trTypeCd=22&trCtgrNo=895019
14,[성경김본사] 지도표 성경김 재래 식탁김 4g 16봉+16봉 (총32봉),"9,750",무료배송,https://www.11st.co.kr/products/2114682808?inpu=&trTypeCd=22&trCtgrNo=895019
15,"상하목장 유기농우유, 200ML, 24개","27,070",무료배송,https://www.11st.co.kr/products/4245822321?inpu=&trTypeCd=22&trCtgrNo=895019
16,[30%] 네파키즈 원데이 단독! 23년 SS 신상품 /자켓/티셔츠 UP TO 80%,"15,000",무료배송,https://www.11st.co.kr/products/4621593388?inpu=&trTypeCd=22&trCtgrNo=895019
17,KF94 아이코코 마스크 컬러에디션 KFAD 비말차단 여름용,"11,920",무료배송,https://www.11st.co.kr/products/3541678624?inpu=&trTypeCd=22&trCtgrNo=895019
18,Magic Tree House #1~34 Set (Book+CD+Wordbook) New,"229,840",무료배송,https://www.11st.co.kr/products/5516234902?inpu=&trTypeCd=22&trCtgrNo=895019
19,베베숲 시그니처 위드블루 그랜드에디션 70매 캡 20팩,"29,990",무료배송,https://www.11st.co.kr/products/5023204621?inpu=&trTypeCd=22&trCtgrNo=895019
20,[크록스본사] 3/21일까지 완판 기념 솔라라이즈드 재입고! 특별가 모음,"10,530",무료배송,https://www.11st.co.kr/products/2918634917?inpu=&trTypeCd=22&trCtgrNo=895019
21,프릴 베이킹소다/맑은식초 주방세제 용기 750ml+리필(1000ml x3개)+프릴 레몬 300ml x,"15,380",무료배송,https://www.11st.co.kr/products/1904542789?inpu=&trTypeCd=22&trCtgrNo=895019
22,"[최종혜택가 23,900원] 센텔리안24 마데카크림 액티브스킨포뮬러 50ml 3개 + 15ml 1개","29,870",무료배송,https://www.11st.co.kr/products/5408576045?inpu=&trTypeCd=22&trCtgrNo=895019
23,[롯데백화점]엔비에이키즈(아동) 폴리 라운지 세트 K225Z1996P,"27,250",무료배송,https://www.11st.co.kr/products/5545256727?inpu=&trTypeCd=22&trCtgrNo=895019
24,[품질보장] 프리미엄 썬키스트 블랙라벨 고당도 오렌지 20과,"14,160",무료배송,https://www.11st.co.kr/products/5393137236?inpu=&trTypeCd=22&trCtgrNo=895019
25,팸퍼스 기저귀 모음전/베이비드라이팬티 외,"44,500",무료배송,https://www.11st.co.kr/products/1101942280?inpu=&trTypeCd=22&trCtgrNo=895019
26,브리타 정수기 막스트라 플러스 필터 3입,"19,900",무료배송,https://www.11st.co.kr/products/3728922923?inpu=&trTypeCd=22&trCtgrNo=895019
27,"비비고 왕교자, 1.3kg, 3개","29,900",무료배송,https://www.11st.co.kr/products/5609836062?inpu=&trTypeCd=22&trCtgrNo=895019
28,글로리한 비타민 베로카 45T_튜브(+트라이탄보틀)/발포비타민/멀티비타민,"21,900",무료배송,https://www.11st.co.kr/products/2354269697?inpu=&trTypeCd=22&trCtgrNo=895019
29,새부리형 KF94 마스크 100매 대형 전컬러 동일가 국내생산 국산 원부자재 세이피 컬러,"10,900",무료배송,https://www.11st.co.kr/products/4064040834?inpu=&trTypeCd=22&trCtgrNo=895019
30,[3만원권] 커피빈 모바일 금액권 18% 할인,"24,600",무료배송,https://www.11st.co.kr/products/5610057657?inpu=&trTypeCd=22&trCtgrNo=895019
31,핸드폰 투명 젤리 케이스 갤럭시 S23 S22 S21 S20 노트 플러스/울트라 아이폰 14 13 1,"3,500",무료배송,https://www.11st.co.kr/products/1830325807?inpu=&trTypeCd=22&trCtgrNo=895019
32,[5만원권] 커피빈 모바일 금액권 18% 할인,"41,000",무료배송,https://www.11st.co.kr/products/5610066008?inpu=&trTypeCd=22&trCtgrNo=895019
33,[잇수다] 오픈라이브 30%+1천 단독혜택! 봄신상 BEST 트위드자켓/원피스/니트/가디건/,"6,860",무료배송,https://www.11st.co.kr/products/2360476597?inpu=&trTypeCd=22&trCtgrNo=895019
34,[30%즉시할인][아디다스] 재팬 봄 오픈 베스트 아이템 아우터/반팔/맨투맨/팬츠 外,"13,930",무료배송,https://www.11st.co.kr/products/5575036985?inpu=&trTypeCd=22&trCtgrNo=895019
35,[본사직영] 생수 아이시스 8.0 2L/무라벨1.5L/1L/500ml/300ml/200ml,"10,350",무료배송,https://www.11st.co.kr/products/1792205310?inpu=&trTypeCd=22&trCtgrNo=895019
36,[헤라] 3월 선크림 맛집의 프레쉬한 신상 #UV프로텍터프레쉬 #블랙쿠션 #글로우쿠션 #,"28,220",무료배송,https://www.11st.co.kr/products/2218563579?inpu=&trTypeCd=22&trCtgrNo=895019
37,가그린 구강청결제 제로 820ml ×5개,"16,900",무료배송,https://www.11st.co.kr/products/4085168370?inpu=&trTypeCd=22&trCtgrNo=895019
38,[다니엘크레뮤] SS시즌 BIG SALE 자켓/반팔티/슬렉스/셔츠 외,"25,350",무료배송,https://www.11st.co.kr/products/5394039712?inpu=&trTypeCd=22&trCtgrNo=895019
39,미쏘 독점 역대급 특가! 원피스/자켓/후드/팬츠 BIG SALE!,"11,120",무료배송,https://www.11st.co.kr/products/3112741238?inpu=&trTypeCd=22&trCtgrNo=895019
40,달콤바삭 누룽지 200g(3+1),"22,000",무료배송,https://www.11st.co.kr/products/5443918799?inpu=&trTypeCd=&trCtgrNo=
41,광림상회 국내산 1등급 냉장 꽃갈비살+갈비살외 소고기 모음전,"19,900",,https://www.11st.co.kr/products/4081862101?inpu=&trTypeCd=&trCtgrNo=
42,[제주농협] 제주오렌지 청견 2kg 4kg #로얄과,"11,600",무료배송,https://www.11st.co.kr/products/2760072661?inpu=&trTypeCd=&trCtgrNo=
43,비타500 콜라겐 잔망루피 100ml 50입,"28,210",무료배송,https://www.11st.co.kr/products/5559853884?inpu=&trTypeCd=&trCtgrNo=
44,싸이닉 파워 옴므 올인원 플루이드 150ml 2개,"17,630",무료배송,https://www.11st.co.kr/products/5379715416?inpu=&trTypeCd=&trCtgrNo=
45,코카콜라[본사직영] 코크제로 캔 355ml 24개,"23,300",무료배송,https://www.11st.co.kr/products/2576026629?inpu=&trTypeCd=&trCtgrNo=
46,SS시즌 뉴발란스 나이키 맨투맨/자켓/바지/가방 UP TO 90%,"8,000",무료배송,https://www.11st.co.kr/products/4506446775?inpu=&trTypeCd=&trCtgrNo=
47,[Pay's] 롯데리아 모바일 금액권 1만원권,"8,900",무료배송,https://www.11st.co.kr/products/5609775858?inpu=&trTypeCd=&trCtgrNo=
48,[30%] 네파 단독 자켓 물량 입고! 바람막이/맨투맨/자켓 外 최대혜택전,"15,000",무료배송,https://www.11st.co.kr/products/4618327617?inpu=&trTypeCd=&trCtgrNo=
49,[크록스공식점]기본할인+30%쿠폰할인! 봄시즌 오픈특가!,"12,600",무료배송,https://www.11st.co.kr/products/1886351212?inpu=&trTypeCd=&trCtgrNo=
50,[50%즉시할인+1천원]브이빈 신상 원가이하! 니트/팬츠/트위드자켓/가디건/셔츠/블라우,"7,450",무료배송,https://www.11st.co.kr/products/5612690393?inpu=&trTypeCd=&trCtgrNo=
51,"농심 얼큰한너구리, 120G, 20개","15,990",무료배송,https://www.11st.co.kr/products/3937566345?inpu=&trTypeCd=&trCtgrNo=
52,"동일식품 어포튀각, 90g, 12개","27,000",무료배송,https://www.11st.co.kr/products/5299486742?inpu=&trTypeCd=&trCtgrNo=
53,[25%즉할]헤지스키즈/포인터웍스 봄 이월 물량 재입고! 바람막이/티셔츠/상하세트 UP,"20,630",무료배송,https://www.11st.co.kr/products/4178700673?inpu=&trTypeCd=&trCtgrNo=
54,[에스트라] 진정 이후 흔적까지 케어하는 #흔적까지진정세럼 온라인 단독용량 출시!,"18,090",무료배송,https://www.11st.co.kr/products/4071366339?inpu=&trTypeCd=&trCtgrNo=
55,Apple Watch SE 44mm (2022) 32G,"368,600",무료배송,https://www.11st.co.kr/products/4940204418?inpu=&trTypeCd=&trCtgrNo=
56,[15%중복]오리히로 곤약젤리 제로 칼로리 4종 8팩 골라담기(거봉 / 복숭아 / 사과 / 샤,"17,010",무료배송,https://www.11st.co.kr/products/5550493495?inpu=&trTypeCd=&trCtgrNo=
57,"켈로그 후르트링 530g, 2개","9,980",무료배송,https://www.11st.co.kr/products/4299171082?inpu=&trTypeCd=&trCtgrNo=
58,프리미엄 페루 애플망고 7-10입 4kg,"29,900",무료배송,https://www.11st.co.kr/products/3482231065?inpu=&trTypeCd=&trCtgrNo=
59,22년햅쌀)신동진쌀20kg #상등급,"47,990",무료배송,https://www.11st.co.kr/products/4943484097?inpu=&trTypeCd=&trCtgrNo=
60,프레시지 바를정육 한입 LA갈비 2kg (500g x 4ea) / 초이스등급,"39,900",무료배송,https://www.11st.co.kr/products/3687998343?inpu=&trTypeCd=&trCtgrNo=
61,[아이허브] 베스트셀러 모음! 비타민 유산균 오메가3 캘리포니아골드 나우푸드 자로우,"28,500",,https://www.11st.co.kr/products/2835570428?inpu=&trTypeCd=&trCtgrNo=
62,CLA 클라 새부리형 KF94 슬림핏 데일리 MB필터 50매 100매 대형 중형 소형,"14,400",무료배송,https://www.11st.co.kr/products/3442902370?inpu=&trTypeCd=&trCtgrNo=
63,홍콩 제니베이커리 4믹스 쿠키(S) 320gx2,"36,660",무료배송,https://www.11st.co.kr/products/3494703219?inpu=&trTypeCd=&trCtgrNo=
64,"상하목장 유기농우유, 125ML, 24개","24,160",무료배송,https://www.11st.co.kr/products/4245838496?inpu=&trTypeCd=&trCtgrNo=
65,[더엣지 외] 23SS 추천 신상! 봄니트/봄아우터/얼리썸머 아이템 外,"29,000",무료배송,https://www.11st.co.kr/products/4291103289?inpu=&trTypeCd=&trCtgrNo=
66,비비고 사골곰탕 500g X 18,"16,820",무료배송,https://www.11st.co.kr/products/4105023311?inpu=&trTypeCd=&trCtgrNo=
67,비비고단호박죽 420G X 10,"23,800",무료배송,https://www.11st.co.kr/products/4034322644?inpu=&trTypeCd=&trCtgrNo=
68,[삠뽀요]15+20%+4개이상5%추가/봄신상베스트모음/가디건/상하복/원피스/티셔츠/팬츠,"7,900",무료배송,https://www.11st.co.kr/products/1876337864?inpu=&trTypeCd=&trCtgrNo=
69,[30%+T11%] 폴햄 봄신상 BIG 찬스! 티셔츠/아우터/팬츠外,"13,900",무료배송,https://www.11st.co.kr/products/1883525698?inpu=&trTypeCd=&trCtgrNo=
70,[깨비농원] 고당도 제주 천혜향 2.5kg 4.5kg,"16,470",무료배송,https://www.11st.co.kr/products/4088475251?inpu=&trTypeCd=&trCtgrNo=
71,[블랙야크키즈] 봄&여름 바람막이자켓/맨투맨티셔츠/팬츠/백팩 BEST 상품,"9,900",무료배송,https://www.11st.co.kr/products/4765373573?inpu=&trTypeCd=&trCtgrNo=
72,키즈 수퍼바이오틱스 (30포/30일분) X 2,"38,250",무료배송,https://www.11st.co.kr/products/5627091273?inpu=&trTypeCd=&trCtgrNo=
73,"에너자이저 알카라인 건전지 AA,AAA 24알/대용량/C/D/코인/패밀리팩-","11,630",무료배송,https://www.11st.co.kr/products/1662586943?inpu=&trTypeCd=&trCtgrNo=
74,반건조 오징어 5미(750g내외) 국내산,"25,000",무료배송,https://www.11st.co.kr/products/5481962996?inpu=&trTypeCd=&trCtgrNo=
75,"[마인드브릿지] 정해인pick! 봄 스타일링~ 트렌치코트, 가디건, 와이드슬랙스 등 최대","18,400",무료배송,https://www.11st.co.kr/products/1780178018?inpu=&trTypeCd=&trCtgrNo=
76,[지오다노주니어] 봄맞이 티셔츠/데님 모음전 ~74% 아동복 등원룩 주니어룩 등교룩 경,"8,500",무료배송,https://www.11st.co.kr/products/3452926755?inpu=&trTypeCd=&trCtgrNo=
77,"햇반 발아현미밥, 210g, 36개","39,200",무료배송,https://www.11st.co.kr/products/4856001218?inpu=&trTypeCd=&trCtgrNo=
78,카르닉 4단 윈드스크린 캠핑 윈드브레이크 텐트 바람막이 사이드월 캠핑용품,"39,800",무료배송,https://www.11st.co.kr/products/2856120904?inpu=&trTypeCd=&trCtgrNo=
79,세노비스 키즈 멀티비타민미네랄 (90정/45일분) X 2,"38,250",무료배송,https://www.11st.co.kr/products/5626762086?inpu=&trTypeCd=&trCtgrNo=
80,[베베쥬]20%예쁜아동복 봄 여름 상하복/원피스/티셔츠/바지,"6,900",무료배송,https://www.11st.co.kr/products/1217141544?inpu=&trTypeCd=&trCtgrNo=
81,베베숲 시그니처 브라운 캡형 70매X20팩,"27,990",무료배송,https://www.11st.co.kr/products/4169162589?inpu=&trTypeCd=&trCtgrNo=
82,[김가네 식탁][해썹인증]본사배송 감자탕 5kg(9-10인분)+겨자소스 증정/국내산 돈등뼈,"18,480",무료배송,https://www.11st.co.kr/products/4262333452?inpu=&trTypeCd=&trCtgrNo=
83,"아몬드 브리즈 오리지널, 190ML, 24개","14,730",무료배송,https://www.11st.co.kr/products/4245931765?inpu=&trTypeCd=&trCtgrNo=
84,선크림은 닥터지! 닥터지 선 브랜드위크! 23 NEW 선 런칭 外 민감피부 1등 선크림/보송,"25,000",무료배송,https://www.11st.co.kr/products/1686589429?inpu=&trTypeCd=&trCtgrNo=
85,[크록스]크록밴드/라이트라이드 외 신상 성인&아동 슈즈/샌들 모음,"15,900",무료배송,https://www.11st.co.kr/products/1951180227?inpu=&trTypeCd=&trCtgrNo=
86,[50+20%]제이프랑 봄신상입고 100종!6천대~티셔츠/팬츠/트레이닝 외,"7,920",무료배송,https://www.11st.co.kr/products/5043864659?inpu=&trTypeCd=&trCtgrNo=
87,훈제오리 슬라이스 800g + 800g,"17,900",무료배송,https://www.11st.co.kr/products/5520811002?inpu=&trTypeCd=&trCtgrNo=
88,차일드라이프 액상 칼슘 마그네슘 473ml X 3,"49,800",무료배송,https://www.11st.co.kr/products/5626967680?inpu=&trTypeCd=&trCtgrNo=
89,에이지투웨니스 에센스 커버 팩트 최신상 플로라 에디션 본품,"25,500",,https://www.11st.co.kr/products/5617476939?inpu=&trTypeCd=&trCtgrNo=
90,[30%쿠폰][울시/펠틱스 외] 스포츠/골프의류 SS 신상! 맨투맨/트랙수트,"7,000",무료배송,https://www.11st.co.kr/products/2768541117?inpu=&trTypeCd=&trCtgrNo=
91,당도선별 블랙라벨 오렌지 중소과/중과/대과,"12,900",무료배송,https://www.11st.co.kr/products/2770628430?inpu=&trTypeCd=&trCtgrNo=
92,[콜핑]등산 SS 최대혜택 자켓/티셔츠/바지/워킹화/용품 모음전,"7,880",무료배송,https://www.11st.co.kr/products/1365205722?inpu=&trTypeCd=&trCtgrNo=
93,[30%+T맴버십] 사뿐 봄슈즈 특가전! 신상/플랫/힐/로퍼/메리제인/슬링백/구두/여자,"9,730",무료배송,https://www.11st.co.kr/products/1002327034?inpu=&trTypeCd=&trCtgrNo=
94,"[풀무원] 소시지, 황금밥알 볶음밥 등 골라담기+[증]짜장소스","36,500",무료배송,https://www.11st.co.kr/products/2546228359?inpu=&trTypeCd=&trCtgrNo=
95,[행필품]아이러브베베 도톰엠보X20팩 블루 아기물티슈,"14,900",무료배송,https://www.11st.co.kr/products/1389155804?inpu=&trTypeCd=&trCtgrNo=
96,[2만원권] 커피빈 모바일 금액권 18% 할인,"16,400",무료배송,https://www.11st.co.kr/products/5610028446?inpu=&trTypeCd=&trCtgrNo=
97,"[아디다스][New Performance] DURAMO 10 WIDE _[GX0709,GX0711,GY3855,GY3856](의정부","34,940",무료배송,https://www.11st.co.kr/products/5523724252?inpu=&trTypeCd=&trCtgrNo=
98,베베숲 시그니처 그린 캡형 70매X10팩,"15,790",무료배송,https://www.11st.co.kr/products/4169169637?inpu=&trTypeCd=&trCtgrNo=
99,올스탠다드 도톰한 엠보싱 캡형 1000매 깨끗한 엠보싱 아기물티슈100매×10팩 대용량,"11,900",무료배송,https://www.11st.co.kr/products/3898117744?inpu=&trTypeCd=&trCtgrNo=
100,[VSL#3] 키즈 100억보장 냉장생유산균 30포 외 3종,"58,000",무료배송,https://www.11st.co.kr/products/2483415994?inpu=&trTypeCd=&trCtgrNo=
