,item,price,url
0,엔드에이 피치 스퀘어넥 퍼프 니트,"최저 19,700원",https://search.shopping.naver.com/catalog/37823615641
1,삼성전자 갤럭시 갤럭시S23 5G 256GB [자급제],"최저 965,090원",https://search.shopping.naver.com/catalog/38117680618
2,국산 가죽원포켓 캔버스 에코 쇼퍼백 스퀘어 투웨이 토트 텀블러백,"최저 20,900원",https://search.shopping.naver.com/catalog/38016081842
3,삼성전자 갤럭시 갤럭시S22 5G 256GB [자급제],"최저 775,470원",https://search.shopping.naver.com/catalog/30927477618
4,삼성전자 갤럭시 버즈2 프로 SM-R510,"최저 167,910원",https://search.shopping.naver.com/catalog/34108100618
5,메디니스 씨아추 무선 목 어깨 안마기 전용백포함 MVP-885,"최저 68,800원",https://search.shopping.naver.com/catalog/27893934522
6,메디니스 씨아추 목 어깨 무선 마사지기 MVP-883,"최저 56,000원",https://search.shopping.naver.com/catalog/21645359590
7,메디니스 베니스 공기압 7단계 수지침 손 마사지기 MDM-2700,"최저 89,800원",https://search.shopping.naver.com/catalog/33954228304
8,메디니스 벨루가 발 종아리 마사지기 MVP-9606,"최저 297,000원",https://search.shopping.naver.com/catalog/24264724619
9,메디니스 닥터아큐 손마사지기 MD-9800,"최저 75,000원",https://search.shopping.naver.com/catalog/21454986244
10,[반스] 남녀공용 스니커즈 애너하임 썸머 캠프 브레이슬릿 어센틱 44 DX (아이보리) (VN0A5KX4AVX),"30,320원2,500원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
11,여성 트루 펌프스 CI0019,"39,000원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
12,나이키 에어맥스 시스템 남녀공용 운동화 DM9538100A,"89,000원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
13,(남여공용) 스니커즈 올드스쿨 Suede Canvas (아이보리) (VN0A3WKTFS8),"44,240원2,500원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
14,(남여공용) 스니커즈 올드스쿨 (브라운) (VN0A5KRF8EE),"44,240원2,500원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
15,(남여공용) 스니커즈 슬립온 59 Pig Suede (그린) (VN0A38GU94T),"33,180원2,500원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
16,(남여공용) 스니커즈 스타일 36 Decon Sf Salt Wash (오렌지) (VN0A5HYRB99),"27,650원2,500원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
17,(남여공용) 스니커즈 스타일 36 Classic Sport (그린) (VN0A54F69YE),"33,180원2,500원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
18,(남여공용) 스니커즈 어센틱 Eco Theory (핑크) (VN0A5HZS9FP),"23,750원2,500원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
19,주크 카라커프스 탈착 트위드 자켓 v231msf907,"239,400원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
20,[무배] 쓰머닝 후드 스트링 언발 바람막이 점퍼(3color),"39,800원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
21,사파리 숏 야상 스트링 바람막이 점퍼 3color,"24,900원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
22,[봄신상 무배] 비바 사파리 야상 허리 스트링 긴팔 후드 점퍼,"54,800원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
23,[봄신상무배]클랍 플랩 포켓 스트링 바람막이 야상 점퍼,"17,200원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
24,[무배] 메라니 세일러카라 스트링 집업 바람막이 자켓,"36,800원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
25,르마스크 팔레트 지퍼 동전 카드 명함 가죽 지갑 (4컬러),"59,000원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
26,[무배] 네로 미니 지퍼 파우치 동전 카드지갑 5color,"11,900원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
27,[무배] 소가죽 반달 카드지갑,"14,700원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
28,(1+1 할인) 컬러풀 슬림 지퍼 소가죽 카드지갑,"8,500원3,000원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
29,7컬러 소가죽 지퍼 카드지갑 아코디언 여자 명함보관,"16,900원3,000원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
30,NEW 헤라 센슈얼 파우더 매트 립스틱 3g,"36,000원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
31,잘 안지워지는 지워지지 않는 립스틱 코랄 말린장미 봄 여름 가을 겨울 웜톤 쿨톤 매트,"8,800원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
32,[오늘출발] 3CE 소프트 매트 립스틱 3.5g,"15,200원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
33,에스쁘아 더슬릭 립스틱 크림매트 0.9g,"23,400원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
34,캐트리스 비건 콜라겐 매트 립스틱 3.8g (5 Color),"10,200원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
